Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      3.09     0.00     6860     0.00     0.00  Blip_Buffer::remove_samples(long)
  0.00      3.09     0.00     6682     0.00     0.00  thumb10_0E(unsigned int)
  0.00      3.09     0.00     6335     0.00     0.00  Stereo_Buffer::samples_avail() const
  0.00      3.09     0.00     6316     0.00     0.00  CPUSoftwareInterrupt(int)
  0.00      3.09     0.00     6316     0.00     0.00  thumbDF(unsigned int)
  0.00      3.09     0.00     6133     0.00     0.00  thumb18_5(unsigned int)
  0.00      3.09     0.00     5815     0.00     0.00  arm350(unsigned int)
  0.00      3.09     0.00     5611     0.00     0.00  thumbD5(unsigned int)
  0.00      3.09     0.00     5456     0.00     0.00  arm1A4(unsigned int)
  0.00      3.09     0.00     5456     0.00     0.00  arm4C0(unsigned int)
  0.00      3.09     0.00     5456     0.00     0.00  arm7C0(unsigned int)
  0.00      3.09     0.00     5456     0.00     0.00  thumb3D(unsigned int)
  0.00      3.09     0.00     5367     0.00     0.01  Gb_Apu::run_until_(int)
  0.00      3.09     0.00     5071     0.00     0.00  Gb_Sweep_Square::clock_sweep()
  0.00      3.09     0.00     4734     0.00     0.00  CPUUpdateRender()
  0.00      3.09     0.00     4731     0.00     0.00  arm240(unsigned int)
  0.00      3.09     0.00     4728     0.00     0.00  arm100(unsigned int)
  0.00      3.09     0.00     4725     0.00     0.00  arm140(unsigned int)
  0.00      3.09     0.00     4724     0.00     0.00  arm160(unsigned int)
  0.00      3.09     0.00     4721     0.00     0.00  arm010(unsigned int)
  0.00      3.09     0.00     4721     0.00     0.00  arm15B(unsigned int)
  0.00      3.09     0.00     4721     0.00     0.00  armB00(unsigned int)
  0.00      3.09     0.00     3988     0.00     0.00  thumb10_06(unsigned int)
  0.00      3.09     0.00     3978     0.00     0.00  thumbA8(unsigned int)
  0.00      3.09     0.00     3962     0.00     0.01  psoundTickfn()
  0.00      3.09     0.00     3962     0.00     0.00  flush_samples(Multi_Buffer*)
  0.00      3.09     0.00     3962     0.00     0.00  Stereo_Buffer::end_frame(int)
  0.00      3.09     0.00     3962     0.00     0.01  Gb_Apu::end_frame(int)
  0.00      3.09     0.00     3922     0.00     0.00  BIOS_BgAffineSet()
  0.00      3.09     0.00     3922     0.00     0.00  thumb1E_2(unsigned int)
  0.00      3.09     0.00     3877     0.00     0.00  thumb1A_4(unsigned int)
  0.00      3.09     0.00     3797     0.00     0.00  thumb1A_0(unsigned int)
  0.00      3.09     0.00     3796     0.00     0.00  thumbBD(unsigned int)
  0.00      3.09     0.00     3794     0.00     0.00  thumb10_03(unsigned int)
  0.00      3.09     0.00     3788     0.00     0.00  Gb_Apu::write_register(int, unsigned int, int)
  0.00      3.09     0.00     3741     0.00     0.00  soundEvent(unsigned int, unsigned char)
  0.00      3.09     0.00     3327     0.00     0.00  arm090(unsigned int)
  0.00      3.09     0.00     3211     0.00     0.00  Gb_Apu::write_osc(int, int, int, int)
  0.00      3.09     0.00     2998     0.00     0.00  arm260(unsigned int)
  0.00      3.09     0.00     2454     0.00     0.00  thumb3C(unsigned int)
  0.00      3.09     0.00     2426     0.00     0.00  thumb10_04(unsigned int)
  0.00      3.09     0.00     2373     0.00     0.00  systemOnWriteDataToSoundBuffer(unsigned short const*, int)
  0.00      3.09     0.00     2373     0.00     0.00  thumb08_03(unsigned int)
  0.00      3.09     0.00     2373     0.00     0.00  Stereo_Buffer::read_samples(short*, long)
  0.00      3.09     0.00     2373     0.00     0.00  SoundSDL::write(unsigned short*, int)
  0.00      3.09     0.00     2372     0.00     0.00  Stereo_Mixer::mix_stereo(short*, int)
  0.00      3.09     0.00     2367     0.00     0.00  systemFrame()
  0.00      3.09     0.00     2367     0.00     0.00  inputReadJoypad(int)
  0.00      3.09     0.00     2367     0.00     0.00  systemDrawScreen()
  0.00      3.09     0.00     2367     0.00     0.00  systemReadJoypad(int)
  0.00      3.09     0.00     2367     0.00     0.00  systemReadJoypads()
  0.00      3.09     0.00     2367     0.00     0.00  systemPauseOnFrame()
  0.00      3.09     0.00     2367     0.00     0.00  inputUpdateMotionSensor()
  0.00      3.09     0.00     2367     0.00     0.00  systemUpdateMotionSensor()
  0.00      3.09     0.00     2364     0.00     0.00  arm000(unsigned int)
  0.00      3.09     0.00     2364     0.00     0.00  arm002(unsigned int)
  0.00      3.09     0.00     2364     0.00     0.00  arm1C0(unsigned int)
  0.00      3.09     0.00     2364     0.00     0.00  arm1DB(unsigned int)
  0.00      3.09     0.00     2364     0.00     0.00  arm510(unsigned int)
  0.00      3.09     0.00     2362     0.00     0.00  arm020(unsigned int)
  0.00      3.09     0.00     2362     0.00     0.00  arm14B(unsigned int)
  0.00      3.09     0.00     2361     0.00     0.00  arm200(unsigned int)
  0.00      3.09     0.00     2361     0.00     0.00  arm550(unsigned int)
  0.00      3.09     0.00     2361     0.00     0.00  arm790(unsigned int)
  0.00      3.09     0.00     2360     0.00     0.00  arm1B0(unsigned int)
  0.00      3.09     0.00     2360     0.00     0.00  arm810(unsigned int)
  0.00      3.09     0.00     2360     0.00     0.00  thumb45_1(unsigned int)
  0.00      3.09     0.00     2209     0.00     0.00  Gb_Env::write_register(int, int, int, int)
  0.00      3.09     0.00     2101     0.00     0.00  thumb1A_7(unsigned int)
  0.00      3.09     0.00     2038     0.00     0.00  thumb10_18(unsigned int)
  0.00      3.09     0.00     1928     0.00     0.00  thumb08_05(unsigned int)
  0.00      3.09     0.00     1814     0.00     0.00  arm089(unsigned int)
  0.00      3.09     0.00     1814     0.00     0.00  thumb40_3(unsigned int)
  0.00      3.09     0.00     1417     0.00     0.00  thumb08_19(unsigned int)
  0.00      3.09     0.00     1248     0.00     0.00  FileExists(char const*)
  0.00      3.09     0.00     1182     0.00     0.00  thumb41_0(unsigned int)
  0.00      3.09     0.00      738     0.00     0.00  thumb3B(unsigned int)
  0.00      3.09     0.00      532     0.00     0.00  thumb00_07(unsigned int)
  0.00      3.09     0.00      520     0.00     0.00  Gb_Apu::apply_stereo()
  0.00      3.09     0.00      448     0.00     0.00  thumb10_02(unsigned int)
  0.00      3.09     0.00      392     0.00     0.00  thumb00_06(unsigned int)
  0.00      3.09     0.00      312     0.00     0.00  FindConfigFile(char const*)
  0.00      3.09     0.00      236     0.00     0.00  system10Frames(int)
  0.00      3.09     0.00      192     0.00     0.00  arm1A7(unsigned int)
  0.00      3.09     0.00      155     0.00     0.00  LoadConfigFile()
  0.00      3.09     0.00      151     0.00     0.00  thumb2F(unsigned int)
  0.00      3.09     0.00      144     0.00     0.00  Gb_Wave::access(unsigned int) const
  0.00      3.09     0.00       96     0.00     0.00  arm1A2(unsigned int)
  0.00      3.09     0.00       91     0.00     0.00  iniparser_getstring
  0.00      3.09     0.00       64     0.00     0.00  ReadPref(char const*, int)
  0.00      3.09     0.00       64     0.00     0.00  iniparser_getint
  0.00      3.09     0.00       40     0.00     0.00  systemGetClock()
  0.00      3.09     0.00       39     0.00     0.00  systemShowSpeed(int)
  0.00      3.09     0.00       32     0.00     0.00  Gb_Osc::reset()
  0.00      3.09     0.00       31     0.00     0.00  thumb08_0B(unsigned int)
  0.00      3.09     0.00       25     0.00     0.00  Blip_Synth_::volume_unit(double)
  0.00      3.09     0.00       24     0.00     0.00  Gb_Apu::silence_osc(Gb_Osc&)
  0.00      3.09     0.00       23     0.00     0.00  BIOS_CpuSet()
  0.00      3.09     0.00       19     0.00     0.00  thumb00_0B(unsigned int)
  0.00      3.09     0.00       18     0.00     0.00  Gba_Pcm::apply_control(int)
  0.00      3.09     0.00       16     0.00     0.00  blargg_vector_::clear()
  0.00      3.09     0.00       11     0.00     0.00  ReadPrefHex(char const*)
  0.00      3.09     0.00       10     0.00     0.00  thumb1C_6(unsigned int)
  0.00      3.09     0.00        8     0.00     0.00  thumb00_1C(unsigned int)
  0.00      3.09     0.00        8     0.00     0.00  thumb1C_4(unsigned int)
  0.00      3.09     0.00        8     0.00     0.00  Gb_Apu::reset_regs()
  0.00      3.09     0.00        7     0.00     0.00  thumb00_0C(unsigned int)
  0.00      3.09     0.00        6     0.00     0.00  interp_rate()
  0.00      3.09     0.00        6     0.00     0.00  BIOS_CpuFastSet()
  0.00      3.09     0.00        6     0.00     0.00  CPUUpdateRenderBuffers(bool)
  0.00      3.09     0.00        5     0.00     0.00  thumb00_09(unsigned int)
  0.00      3.09     0.00        5     0.00     0.00  Blip_Synth_::treble_eq(blip_eq_t const&)
  0.00      3.09     0.00        5     0.00     0.00  blip_eq_t::generate(float*, int) const
  0.00      3.09     0.00        4     0.00     0.00  applyTimer()
  0.00      3.09     0.00        4     0.00     0.00  BIOS_LZ77UnCompVram()
  0.00      3.09     0.00        4     0.00     0.00  thumb00_0E(unsigned int)
  0.00      3.09     0.00        4     0.00     0.00  thumb00_11(unsigned int)
  0.00      3.09     0.00        4     0.00     0.00  thumb1A_3(unsigned int)
  0.00      3.09     0.00        4     0.00     0.00  Data_Reader::read(void*, int)
  0.00      3.09     0.00        4     0.00     0.00  Gba_Pcm_Fifo::write_control(int)
  0.00      3.09     0.00        4     0.00     0.00  blargg_vector_::init()
  0.00      3.09     0.00        4     0.00     0.00  Binary_Extractor::close_v()
