Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      2.77     0.00    51546     0.00     0.00  arm0DD(unsigned int)
  0.00      2.77     0.00    47888     0.00     0.00  codeTicksAccess32(unsigned int)
  0.00      2.77     0.00    46276     0.00     0.00  thumb38(unsigned int)
  0.00      2.77     0.00    43658     0.00     0.00  Gb_Square::run(int, int)
  0.00      2.77     0.00    37039     0.00     0.00  thumb39(unsigned int)
  0.00      2.77     0.00    35782     0.00     0.00  dataTicksAccess32(unsigned int)
  0.00      2.77     0.00    35614     0.00     0.00  thumb10_05(unsigned int)
  0.00      2.77     0.00    35555     0.00     0.00  thumb3E(unsigned int)
  0.00      2.77     0.00    34684     0.00     0.00  Gb_Osc::clock_length()
  0.00      2.77     0.00    34171     0.00     0.00  thumb00_05(unsigned int)
  0.00      2.77     0.00    26737     0.00     0.00  thumb18_6(unsigned int)
  0.00      2.77     0.00    24240     0.00     0.00  CPUWriteHalfWord(unsigned int, unsigned short)
  0.00      2.77     0.00    21829     0.00     0.00  Gb_Wave::run(int, int)
  0.00      2.77     0.00    19712     0.00     0.00  CPUReadByte(unsigned int)
  0.00      2.77     0.00    18857     0.00     0.00  thumb43_2(unsigned int)
  0.00      2.77     0.00    18416     0.00     0.00  arm3A0(unsigned int)
  0.00      2.77     0.00    18296     0.00     0.00  CPUReadHalfWord(unsigned int)
  0.00      2.77     0.00    17893     0.00     0.00  arm920(unsigned int)
  0.00      2.77     0.00    17889     0.00     0.00  arm8B0(unsigned int)
  0.00      2.77     0.00    17687     0.00     0.00  arm280(unsigned int)
  0.00      2.77     0.00    17676     0.00     0.00  arm121(unsigned int)
  0.00      2.77     0.00    16530     0.00     0.00  thumb43_3(unsigned int)
  0.00      2.77     0.00    16148     0.00     0.00  CPUSwitchMode(int, bool, bool)
  0.00      2.77     0.00    15712     0.00     0.00  thumb34(unsigned int)
  0.00      2.77     0.00    15091     0.00     0.00  thumb1A_6(unsigned int)
  0.00      2.77     0.00    14670     0.00     0.00  CPUReadMemory(unsigned int)
  0.00      2.77     0.00    13973     0.00     0.00  thumb56(unsigned int)
  0.00      2.77     0.00    12377     0.00     0.00  arm1A0(unsigned int)
  0.00      2.77     0.00    12285     0.00     0.00  arm5D0(unsigned int)
  0.00      2.77     0.00    12278     0.00     0.00  thumb08_08(unsigned int)
  0.00      2.77     0.00    12136     0.00     0.00  thumb00_13(unsigned int)
  0.00      2.77     0.00    12118     0.00     0.00  CPUWriteHalfWord(unsigned int, unsigned short)
  0.00      2.77     0.00    12115     0.00     0.00  CPUUpdateCPSR()
  0.00      2.77     0.00    12111     0.00     0.00  CPUSwitchMode(int, bool)
  0.00      2.77     0.00    11175     0.00     0.00  thumb35(unsigned int)
  0.00      2.77     0.00    10174     0.00     0.00  arm210(unsigned int)
  0.00      2.77     0.00    10161     0.00     0.00  Blip_Buffer::end_frame(int)
  0.00      2.77     0.00    10158     0.00     0.00  CPUWriteByte(unsigned int, unsigned char)
  0.00      2.77     0.00    10158     0.00     0.02  arm5C0(unsigned int)
  0.00      2.77     0.00    10125     0.00     0.00  thumb1A_1(unsigned int)
  0.00      2.77     0.00    10100     0.00     0.02  arm1CB(unsigned int)
  0.00      2.77     0.00     8075     0.00     0.00  CPUUpdateFlags()
  0.00      2.77     0.00     8075     0.00     0.00  arm120(unsigned int)
  0.00      2.77     0.00     7090     0.00     0.00  thumbD2(unsigned int)
  0.00      2.77     0.00     7079     0.00     0.00  thumb1A_5(unsigned int)
  0.00      2.77     0.00     6640     0.00     0.00  thumb08_04(unsigned int)
  0.00      2.77     0.00     6501     0.00     0.00  Gb_Env::clock_envelope()
  0.00      2.77     0.00     6092     0.00     0.00  thumb08_01(unsigned int)
  0.00      2.77     0.00     6064     0.00     0.00  thumb00_12(unsigned int)
  0.00      2.77     0.00     6057     0.00     0.00  arm380(unsigned int)
  0.00      2.77     0.00     6053     0.00     0.00  CPUReadHalfWord(unsigned int)
  0.00      2.77     0.00     5950     0.00     0.00  thumb26(unsigned int)
  0.00      2.77     0.00     5828     0.00     0.00  Blip_Buffer::remove_samples(long)
  0.00      2.77     0.00     5663     0.00     0.00  thumb08_18(unsigned int)
  0.00      2.77     0.00     5456     0.00     0.00  thumb3D(unsigned int)
  0.00      2.77     0.00     5416     0.00     0.00  Stereo_Buffer::samples_avail() const
  0.00      2.77     0.00     5348     0.00     0.00  thumb10_0E(unsigned int)
  0.00      2.77     0.00     5284     0.00     0.00  CPUSoftwareInterrupt(int)
  0.00      2.77     0.00     5284     0.00     0.00  thumbDF(unsigned int)
  0.00      2.77     0.00     5132     0.00     0.00  thumb18_5(unsigned int)
  0.00      2.77     0.00     4695     0.00     0.00  arm350(unsigned int)
  0.00      2.77     0.00     4586     0.00     0.00  thumbD5(unsigned int)
  0.00      2.77     0.00     4487     0.00     6.69  Gb_Apu::run_until_(int)
  0.00      2.77     0.00     4335     0.00     0.00  Gb_Sweep_Square::clock_sweep()
  0.00      2.77     0.00     4095     0.00     0.00  arm310(unsigned int)
  0.00      2.77     0.00     4046     0.00     0.00  CPUUpdateRender()
  0.00      2.77     0.00     4040     0.00     0.00  arm100(unsigned int)
  0.00      2.77     0.00     4037     0.00     0.00  arm140(unsigned int)
  0.00      2.77     0.00     4036     0.00     0.00  arm160(unsigned int)
  0.00      2.77     0.00     4033     0.00     0.00  arm010(unsigned int)
  0.00      2.77     0.00     4033     0.00     0.00  arm15B(unsigned int)
  0.00      2.77     0.00     4033     0.00     0.00  armB00(unsigned int)
  0.00      2.77     0.00     3838     0.00     0.00  arm240(unsigned int)
  0.00      2.77     0.00     3765     0.00     0.00  arm1DD(unsigned int)
  0.00      2.77     0.00     3387     0.00     6.69  psoundTickfn()
  0.00      2.77     0.00     3387     0.00     0.00  flush_samples(Multi_Buffer*)
  0.00      2.77     0.00     3387     0.00     0.00  Stereo_Buffer::end_frame(int)
  0.00      2.77     0.00     3387     0.00     6.69  Gb_Apu::end_frame(int)
  0.00      2.77     0.00     3290     0.00     0.00  thumbA8(unsigned int)
  0.00      2.77     0.00     3262     0.00     0.00  thumb10_06(unsigned int)
  0.00      2.77     0.00     3234     0.00     0.00  BIOS_BgAffineSet()
  0.00      2.77     0.00     3234     0.00     0.00  thumb1E_2(unsigned int)
  0.00      2.77     0.00     3189     0.00     0.00  thumb1A_4(unsigned int)
  0.00      2.77     0.00     3109     0.00     0.00  thumb1A_0(unsigned int)
  0.00      2.77     0.00     3108     0.00     0.01  thumbBD(unsigned int)
  0.00      2.77     0.00     3106     0.00     0.00  thumb10_03(unsigned int)
  0.00      2.77     0.00     3025     0.00     2.43  Gb_Apu::write_register(int, unsigned int, int)
  0.00      2.77     0.00     2978     0.00     2.43  soundEvent(unsigned int, unsigned char)
  0.00      2.77     0.00     2603     0.00     0.00  arm090(unsigned int)
  0.00      2.77     0.00     2559     0.00     0.00  Gb_Apu::write_osc(int, int, int, int)
  0.00      2.77     0.00     2348     0.00     0.00  arm260(unsigned int)
  0.00      2.77     0.00     2110     0.00     0.00  thumb3C(unsigned int)
  0.00      2.77     0.00     2060     0.00     0.00  thumb08_03(unsigned int)
  0.00      2.77     0.00     2029     0.00     0.00  systemOnWriteDataToSoundBuffer(unsigned short const*, int)
  0.00      2.77     0.00     2029     0.00     0.00  Stereo_Buffer::read_samples(short*, long)
  0.00      2.77     0.00     2029     0.00     0.00  SoundSDL::write(unsigned short*, int)
  0.00      2.77     0.00     2028     0.00     0.00  Stereo_Mixer::mix_stereo(short*, int)
  0.00      2.77     0.00     2023     0.00     0.00  systemFrame()
  0.00      2.77     0.00     2023     0.00     0.00  inputReadJoypad(int)
  0.00      2.77     0.00     2023     0.00     0.00  systemDrawScreen()
  0.00      2.77     0.00     2023     0.00     0.00  systemReadJoypad(int)
  0.00      2.77     0.00     2023     0.00     0.00  systemReadJoypads()
  0.00      2.77     0.00     2023     0.00     0.00  systemPauseOnFrame()
  0.00      2.77     0.00     2023     0.00     0.00  inputUpdateMotionSensor()
  0.00      2.77     0.00     2023     0.00     0.00  systemUpdateMotionSensor()
  0.00      2.77     0.00     2020     0.00     0.00  arm000(unsigned int)
  0.00      2.77     0.00     2020     0.00     0.00  arm002(unsigned int)
  0.00      2.77     0.00     2020     0.00     0.00  arm1C0(unsigned int)
  0.00      2.77     0.00     2020     0.00     0.00  arm1DB(unsigned int)
  0.00      2.77     0.00     2020     0.00     0.00  arm510(unsigned int)
  0.00      2.77     0.00     2018     0.00     0.00  arm020(unsigned int)
  0.00      2.77     0.00     2018     0.00     0.00  arm14B(unsigned int)
  0.00      2.77     0.00     2017     0.00     0.00  arm200(unsigned int)
